话题链接	话题内容	楼主ID	楼主昵称	楼主性别	发布日期	发布时间	转发量	评论量	点赞量	评论者ID	评论者昵称	评论者性别	评论日期	评论时间	评论内容
https://m.weibo.cn/detail/4472132886924452	【#钟南山院士指导研发快速检测试剂盒# #采一滴血15分钟内可获检测结果#】昨天，呼吸疾病国家重点实验室对外透露，近日，在钟南山院士的指导下，实验室联合多家研究机构，最新研发出新型冠状病毒IgM抗体快速检测试剂盒，并已在实验室和临床完成初步评价。据介绍，仅需采取一滴血就可在15分钟内肉眼观察获得检测结果，且患者的血浆稀释500至1000倍后，仍能检测出阳性条带。呼吸疾病国家重点实验室表示，这一试剂盒在湖北某医院进行了应用试验。通过对部分临床已确诊为新型冠状病毒感染阳性（但PCR核酸检测阴性的）患者血样进行复检，该试剂盒能检出相当部分（IgM）阳性，提示可与核酸检测形成互补。目前该试剂盒（科研用）样品已大批送至湖北省武汉市、黄冈市、大冶市等地基层卫生机构等，与核酸检测等技术联合用于检测新型冠状病毒感染的测试评估。（总台央视记者陈旭婷）	2656274875	央视新闻	m	2020/2/15	7:30:31	3094	2419	33365	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	6033414083	白昼飛行週期	f	2020/2/15	7:31:13	钟老您辛苦了
 	 	 	 	 	 	 	 	 	 	2115260573	学习	f	2020/2/15	7:31:46	钟南山院士?? ?? ！！！突破
 	 	 	 	 	 	 	 	 	 	2136227927	玛格丽特的点心	f	2020/2/15	7:32:24	钟老辛苦，这样的科研人士是祖国的脊梁，致敬
 	 	 	 	 	 	 	 	 	 	5638088341	莎莎睡不醒-	f	2020/2/15	7:30:57	太棒啦
 	 	 	 	 	 	 	 	 	 	1227407741	尼奇窝窝	f	2020/2/15	7:32:38	钟老，你现在收学生吗？
 	 	 	 	 	 	 	 	 	 	5786292907	老陌_陌予倾年	f	2020/2/15	7:33:16	钟南山院士您辛苦了，注意身体
 	 	 	 	 	 	 	 	 	 	6124353858	浅夏未蓝ion	f	2020/2/15	7:37:24	太厉害了钟老。 我想这世界上没有哪个国家有中国这样的行动力，在这么短的时间有这样的成果。这是中国速度。
 	 	 	 	 	 	 	 	 	 	2652280657	林森林夕	f	2020/2/15	7:31:10	钟院士厉害
 	 	 	 	 	 	 	 	 	 	1150742484	梦想家马龙	m	2020/2/15	7:31:27	国士无双。
 	 	 	 	 	 	 	 	 	 	1213400965	viewer_and_passer	f	2020/2/15	7:33:51	太好了！可以缩短检测时间，尽快收治
 	 	 	 	 	 	 	 	 	 	6778733281	武三思s	f	2020/2/15	7:31:48	太厉害了
 	 	 	 	 	 	 	 	 	 	2369780907	杉菜姐姐	f	2020/2/15	7:32:43	钟院士厉害??
 	 	 	 	 	 	 	 	 	 	1881962444	不吃糖的萝卜	f	2020/2/15	7:39:36	这次疫情，让孩子们、青年们知道“成为对社会有贡献的人”，应该成为每个人的人生理想。
 	 	 	 	 	 	 	 	 	 	3802345065	刘昊然非官方女友	f	2020/2/15	7:35:19	钟院士真的辛苦了捐献血浆的也辛苦啦！
 	 	 	 	 	 	 	 	 	 	6071892501	浅浅笑笑0808	f	2020/2/15	7:32:23	嗷嗷，这个好啊！还有互补作用（意思是强化了检测效果还更快了对吗）
 	 	 	 	 	 	 	 	 	 	6404309042	撒哈拉的三毛阿	f	2020/2/15	7:57:11	看见没，这才是平时应该受关注的人！
 	 	 	 	 	 	 	 	 	 	5529408680	叁玖加油吖	f	2020/2/15	7:31:09	好！！！！！！
 	 	 	 	 	 	 	 	 	 	3958106829	qq_hardworking_qq	m	2020/2/15	7:44:42	建议用这个方法上门全面排查
 	 	 	 	 	 	 	 	 	 	1873354480	体育赛事菌	f	2020/2/15	12:41:02	钟老辛苦，这样的科研人士是祖国的脊梁，致敬
 	 	 	 	 	 	 	 	 	 	1273705857	Ginga16	m	2020/2/15	7:56:41	这个大量生产后外边儿药店要能买到 自己在家就能测了吧
 	 	 	 	 	 	 	 	 	 	2908513821	靳东家的小媳妇	f	2020/2/15	7:34:04	钟南山院士真厉害 辛苦了 一定要多休息 千万别累着了
 	 	 	 	 	 	 	 	 	 	5978654179	想吃掉不开心	f	2020/2/15	7:38:56	新突破！太棒了！
 	 	 	 	 	 	 	 	 	 	1495835047	喵呜的风琴	f	2020/2/15	8:16:54	给没天没夜奉献却无名的众多中国科学家点赞
 	 	 	 	 	 	 	 	 	 	3928063567	青花瓷同学H	f	2020/2/15	7:49:18	比核酸检测快、准！
 	 	 	 	 	 	 	 	 	 	1227407741	尼奇窝窝	f	2020/2/15	7:48:00	《今日印度》2月11日报道，印度南部喀拉拉邦疑似爆发新冠肺炎疫情，当地政府对3252人进行了观察，隔离了另外3218人。另有34人在医院病房被隔离。 2月7日，印度从武汉撤回15名印度公民。针对当前形势，当地政府已启动重大疫情应对机制。
 	 	 	 	 	 	 	 	 	 	1919147353	小袁_0226	f	2020/2/15	10:11:24	“钟”其一生，迎“南”而上，稳如泰“山”，感恩有您！
 	 	 	 	 	 	 	 	 	 	3009425863	元气M锦鲤	f	2020/2/15	7:33:54	我看报道原来好像得90分钟。科技使人类进步。
 	 	 	 	 	 	 	 	 	 	6427179153	优品U男	m	2020/2/15	7:42:16	钟老大爱，天佑中华；医警逆行，救我同胞；国之责任，国泰民安；官民同心，才能胜利?
 	 	 	 	 	 	 	 	 	 	5631534368	猪猪小兔子唯爱宁哥	f	2020/2/15	7:33:28	钟老，辛苦了
 	 	 	 	 	 	 	 	 	 	3757821353	孟孟孟十苑	f	2020/2/15	7:32:29	钟老厉害#聊聊山河那些事儿#
 	 	 	 	 	 	 	 	 	 	2745470511	论眼神的杀伤力	f	2020/2/15	7:31:21	希望每天醒来都能有好消息[加油]
 	 	 	 	 	 	 	 	 	 	2520035477	尧尧兔宝	f	2020/2/15	7:36:56	钟老辛苦了，国士无双
 	 	 	 	 	 	 	 	 	 	3825765068	Lizery3	m	2020/2/15	7:33:19	钟老????！！！
 	 	 	 	 	 	 	 	 	 	6616325587	沈柒亲妈	f	2020/2/15	7:50:27	太好了！感谢以钟老为代表的所有奋斗在一线的人?你们辛苦了
 	 	 	 	 	 	 	 	 	 	2733004780	叶子听风	f	2020/2/15	8:52:08	振撼人心的好消息！
 	 	 	 	 	 	 	 	 	 	5698825251	按时吃饭r	f	2020/2/15	7:39:10	太牛了吧！！辛苦了
 	 	 	 	 	 	 	 	 	 	6373141466	HYH吴情	f	2020/2/15	7:34:24	钟爷爷辛苦了
 	 	 	 	 	 	 	 	 	 	5557356875	金家槿栀	f	2020/2/15	7:33:11	钟院士和研究人员们真的辛苦了
 	 	 	 	 	 	 	 	 	 	7321902178	溏米的左耳朵	f	2020/2/15	8:55:30	像早早孕试纸
 	 	 	 	 	 	 	 	 	 	3555871270	Cloris_1van	f	2020/2/15	9:16:44	钟老太??了！国士无双！
 	 	 	 	 	 	 	 	 	 	5557302966	小圈圈吖FY	f	2020/2/15	9:14:14	钟院士，还有各位科研人员，您们辛苦了~
 	 	 	 	 	 	 	 	 	 	5975010949	涛涛的糖	m	2020/2/15	8:10:28	好
 	 	 	 	 	 	 	 	 	 	1800459834	时间线航天	f	2020/2/15	7:32:41	那这样多次核酸检测的阴性漏掉的病例就可以大大检测出来了。
 	 	 	 	 	 	 	 	 	 	1855999764	三十五楼有风吗	f	2020/2/15	8:27:29	钟老辛苦了
 	 	 	 	 	 	 	 	 	 	5174998040	肖哥哥的糖二姑娘	f	2020/2/15	7:44:29	辛苦
 	 	 	 	 	 	 	 	 	 	6211171613	一直在等富婆的广东靓仔	m	2020/2/15	7:32:26	钟老您真棒 ????
 	 	 	 	 	 	 	 	 	 	2679564520	黑子猫的blog	f	2020/2/15	11:43:42	感谢所有参加研发的科研人员
 	 	 	 	 	 	 	 	 	 	5451471899	一颗耀眼的蛋蛋	f	2020/2/15	10:18:10	给钟南山院士跪下了 真是天神下凡
 	 	 	 	 	 	 	 	 	 	5270389037	coolZhaosHang_	f	2020/2/15	12:48:17	钟老辛苦了
 	 	 	 	 	 	 	 	 	 	5346698485	终极猜想者22135	m	2020/2/15	11:52:14	验证评估准确率非常高就可全国推行试用
 	 	 	 	 	 	 	 	 	 	5211792231	孔刘圈外女友_	f	2020/2/15	10:55:40	辛苦了
 	 	 	 	 	 	 	 	 	 	5307240321	守護甜豆櫻花落	f	2020/2/15	8:21:51	钟老辛苦了
 	 	 	 	 	 	 	 	 	 	7342541131	暗号17是禁忌	m	2020/2/15	7:55:15	厉害??
 	 	 	 	 	 	 	 	 	 	3995260888	格格睡着了	f	2020/2/15	7:53:31	钟老????！！！
 	 	 	 	 	 	 	 	 	 	6018608143	回眸一笑天下倾v	f	2020/2/15	7:42:12	太棒了，又是一大突破
 	 	 	 	 	 	 	 	 	 	2505279985	小now的泽暄	f	2020/2/15	7:33:45	辛苦了
 	 	 	 	 	 	 	 	 	 	5634013749	zfw平安浦城	f	2020/2/15	7:32:23	
 	 	 	 	 	 	 	 	 	 	6193838839	甜甜的小团圆	f	2020/2/15	7:32:22	有希望了，真好！
 	 	 	 	 	 	 	 	 	 	1674019814	山谷问道	m	2020/2/15	7:32:12	这个太及时了。
 	 	 	 	 	 	 	 	 	 	3928031105	帝国甜啵	f	2020/2/15	7:32:04	棒
 	 	 	 	 	 	 	 	 	 	6065272082	九命军烨	m	2020/2/15	7:32:03	辛苦了
 	 	 	 	 	 	 	 	 	 	5947020913	不忘初心990331	f	2020/2/15	7:31:55	相信钟老，您辛苦了！
 	 	 	 	 	 	 	 	 	 	7171288725	赏_月	f	2020/2/15	7:31:47	厉害，！！
 	 	 	 	 	 	 	 	 	 	5590659580	配角rq	f	2020/2/15	7:31:14	厉害了
 	 	 	 	 	 	 	 	 	 	6078709162	咩星儿	m	2020/2/15	7:31:03	太厉害了 值得鼓励
 	 	 	 	 	 	 	 	 	 	3537528415	君不得闲	m	2020/2/15	9:35:23	钟老辛苦了。
 	 	 	 	 	 	 	 	 	 	2770257043	Blue_15_	f	2020/2/15	7:37:19	这才是真正值得年轻人去崇拜的
 	 	 	 	 	 	 	 	 	 	5588145122	疯风凤丫头呀	f	2020/2/15	7:33:31	国士无双
 	 	 	 	 	 	 	 	 	 	5260974450	Su_owo	f	2020/2/15	7:31:01	
 	 	 	 	 	 	 	 	 	 	5048707545	Tothedearbee	f	2020/2/15	7:30:52	
 	 	 	 	 	 	 	 	 	 	5654691004	BabeGou	f	2020/2/15	11:55:25	用抗体检测的风险是，如果受检人是曾经受到过病毒感染但是已经自愈或治愈了，检测出来还会是阳性的。所以应该是不能单独作为检测标准的。
 	 	 	 	 	 	 	 	 	 	5737244570	被叮了个包	f	2020/2/15	8:02:41	这样子和一些外国国家测血糖的反应时间差不多呢，钟老，我们国家有您真幸运，实验室工作人员也辛苦辛苦，你们肯定比我们还要焦急，加油啊，我们挺住
 	 	 	 	 	 	 	 	 	 	1868135817	skylineTM	m	2020/2/15	14:29:18	??
 	 	 	 	 	 	 	 	 	 	2838990837	lishasha199571	f	2020/2/15	14:00:38	钟老辛苦了，注意身体
 	 	 	 	 	 	 	 	 	 	3650249667	勇敢的敏敏_喵	f	2020/2/15	13:46:49	钟老先生是医学介珍宝，你一定要保护好自己，你安好民众才安心，您辛苦了，请注意身体，挤时间也要休息
 	 	 	 	 	 	 	 	 	 	6975185296	橘生淮南63944	m	2020/2/15	13:46:39	钟老你辛苦了
 	 	 	 	 	 	 	 	 	 	3989931331	后来并肩	f	2020/2/15	13:21:52	抗体检测竟然可以互补但核酸阴性！这个真的是厉害了，很少有抗体检测的灵敏度会高于核酸的 属实牛
 	 	 	 	 	 	 	 	 	 	6111071729	江南水乡200302	m	2020/2/15	12:53:44	关健时侯还是科技人才，国家栋梁戏子不过是茶余饭后，打发时间罢了，酒囊饭袋而已。向所有奋战一线的医务人员致敬
 	 	 	 	 	 	 	 	 	 	5279716705	白周咸蔡	f	2020/2/15	12:41:15	钟老辛苦您了！
 	 	 	 	 	 	 	 	 	 	1236848261	夕本无言	m	2020/2/15	11:51:24	国士无双！同时问候没被病毒战胜的王广发、善写论文的高福！
 	 	 	 	 	 	 	 	 	 	5825627046	grass96	f	2020/2/15	11:46:59	真希望当下的00后甚至10后的理想不再是当明星，而是科学家 医生警察等等，因为他们才是我大中国的最闪亮耀眼的星！
 	 	 	 	 	 	 	 	 	 	1892792847	莫名sam	m	2020/2/15	10:35:04	病毒量得多大，1：512
 	 	 	 	 	 	 	 	 	 	6051646991	像雾像雨又像风line	f	2020/2/15	10:28:09	太好了！钟老辛苦了！
 	 	 	 	 	 	 	 	 	 	2088775955	大连潜力股不悔爱无悔	f	2020/2/15	10:19:00	谢谢钟老先生！
 	 	 	 	 	 	 	 	 	 	2657645291	PLutoMind	m	2020/2/15	10:14:55	重要的是 能大规模生产吗？
 	 	 	 	 	 	 	 	 	 	5565650361	秋天天的水	m	2020/2/15	10:11:39	疫情控制，加油加油加油
 	 	 	 	 	 	 	 	 	 	1892454685	楼楼的宫殿	f	2020/2/15	9:32:58	我们湖北人民谢谢您
 	 	 	 	 	 	 	 	 	 	1773687214	成成正正	m	2020/2/15	9:19:24	艰难时段，少发表一些论文，多拿出一批成果，钟院士
 	 	 	 	 	 	 	 	 	 	6120545780	肿瘤外科赵医生	m	2020/2/15	9:17:20	这个要是量产后是不是可以作为开工后要进入地铁，车站，超市等人员密集场所前的一种初筛方式。
 	 	 	 	 	 	 	 	 	 	6128159733	余生晴深	f	2020/2/15	8:31:08	钟老辛苦，这样的血浆检测要比咽拭子检测应该更快更准确吧！加油！
 	 	 	 	 	 	 	 	 	 	6018679898	迪子衿	f	2020/2/15	8:28:55	啊啊啊啊啊啊这样能减轻很大的压力啊 疑似病例监测不用隔离14天了！！！爸妈去外地打工也不用在那再隔离14天了！！！钟老国士无双
 	 	 	 	 	 	 	 	 	 	6350930674	是可爱的仙仙仙女鸭	f	2020/2/15	8:27:44	致敬钟老院士???? ????????
