Item Title,URL,Àà±ð,,Systematic Reviews,1
Practical relevance of software engineering research: synthesizing the community¡¯s voice,http://link.springer.com/article/10.1007/s10664-020-09803-0,5,,Experiment,2
"The who, what, how of software engineering research: a socio-technical framework",http://link.springer.com/article/10.1007/s10664-020-09858-z,5,,Survey,3
How software engineering research aligns with design science: a review,http://link.springer.com/article/10.1007/s10664-020-09818-7,,,Case Studies,4
Preface to the empirical software engineering special issue on selected papers from RE¡¯19,http://link.springer.com/article/10.1007/s10664-020-09887-8,,,Ethnographies,5
Search. Review. Repeat? An empirical study of threats to replicating SLR searches,http://link.springer.com/article/10.1007/s10664-019-09763-0,,,Action Research,6
Foreword to the Special Issue in Empirical Software Engineering: Best Papers of REFSQ 2019,http://link.springer.com/article/10.1007/s10664-020-09839-2,,,Expert Opinions,7
An experimental scrutiny of visual design modelling: VCL up against UML+OCL,http://link.springer.com/article/10.1007/s10664-019-09784-9,,,,
A practical guide on conducting eye tracking studies in software engineering,http://link.springer.com/article/10.1007/s10664-020-09829-4,,,,
On (Mis)perceptions of testing effectiveness: an empirical study,http://link.springer.com/article/10.1007/s10664-020-09805-y,,,,
Why reinventing the wheels? An empirical study on library reuse and re-implementation,http://link.springer.com/article/10.1007/s10664-019-09771-0,,,,
Code and commit metrics of developer productivity: a study on team leaders perceptions,http://link.springer.com/article/10.1007/s10664-020-09820-z,,,,
Towards an evidence-based theoretical framework on factors influencing the software development productivity,http://link.springer.com/article/10.1007/s10664-020-09844-5,,,,
Standing on shoulders or feet? An extended study on the usage of the MSR data papers,http://link.springer.com/article/10.1007/s10664-020-09834-7,,,,
A tailored participatory action research for foss communities,http://link.springer.com/article/10.1007/s10664-020-09849-0,,,,
Empirical assessment of the effort needed to attack programs protected with client/server code splitting,http://link.springer.com/article/10.1007/s10664-019-09738-1,,,,
Formal methods in dependable systems engineering: a survey of professionals from Europe and North America,http://link.springer.com/article/10.1007/s10664-020-09836-5,,,,
Software engineering whispers: The effect of textual vs. graphical software design descriptions on software design communication,http://link.springer.com/article/10.1007/s10664-020-09835-6,,,,
An empirical assessment of baseline feature location techniques,http://link.springer.com/article/10.1007/s10664-019-09734-5,,,,
How does combinatorial testing perform in the real world: an empirical study,http://link.springer.com/article/10.1007/s10664-019-09799-2,,,,
